,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
1970,587065,en,Bayala and the Last Dragon,36.918,2019-10-24,5.9,15,"['Adventure', 'Animation', 'Family', 'Fantasy']","As the dragons have almost disappeared from the kingdom of Bayala, the magic powers of the fairies are weakening. The fairy princesses Sera and Surah are thrilled when they discover they have the key to save the world in their hands: a dragon egg! Now the sisters must reach the dragon mountains and they embark on an adventurous journey into the unknown...",521149,85,Find your wings
1971,134375,en,Home Alone: The Holiday Heist,31.698,2012-11-25,5.4,269,"['Comedy', 'Family', 'TV Movie']","8-year-old Finn is terrified to learn his family is relocating from sunny California to Maine in the scariest house he has ever seen! Convinced that his new house is haunted, Finn sets up a series of elaborate traps to catch the “ghost” in action. Left home alone with his sister while their parents are stranded across town, Finn’s traps catch a new target – a group of thieves who have targeted Finn’s house.",0,87,Hit the jump for more
1972,598,pt,Cidade de Deus,31.836,2002-02-05,8.4,5407,"['Drama', 'Crime']","Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes...",30641770,130,"If you run, you're dead... if you stay, you're dead again."
1973,338766,en,Hell or High Water,28.442,2016-08-12,7.3,3502,"['Western', 'Crime']",A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,37589296,102,Blood always follows money.
1974,323675,en,Ride Along 2,32.14,2016-01-14,6.3,1322,"['Action', 'Comedy']","As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",124827316,102,The brothers-in-law are back
1975,501170,en,Doctor Sleep,35.755,2019-10-30,7.2,2988,"['Horror', 'Thriller']","Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers.",72281712,152,Dare to go back.
1976,774372,en,"ariana grande: excuse me, i love you",36.987,2020-12-21,8.4,270,"['Music', 'Documentary']",Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,0,97,
1977,23202,en,Trick 'r Treat,34.231,2007-10-26,6.9,1263,"['Horror', 'Comedy']","Four interwoven stories that occur on Halloween: an everyday high school principal has a secret life as a serial killer; a college virgin might have just met the one guy for her; a group of teenagers pull a mean prank, and a bitter old recluse receives an uninvited guest.",0,82,"Poison, Drowning, Claw, Or Knife. So Many Ways To Take A Life."
1978,259694,en,How to Be Single,29.686,2016-01-21,6.2,2738,"['Comedy', 'Romance']","New York City is full of lonely hearts seeking the right match, and what Alice, Robin, Lucy, Meg, Tom and David all have in common is the need to learn how to be single in a world filled with ever-evolving definitions of love.",112343513,110,Welcome to the party
1979,362584,ja,傷物語〈Ⅱ熱血篇〉,33.186,2016-08-19,8.1,117,"['Animation', 'Fantasy', 'Mystery']","Koyomi Araragi was turned into a vampire by the legendary vampire, Kiss-shot Acerola-orion Heart-under-blade, and he needs to revive the weakened vampire back to her complete form to return to being human again. The only way for Koyomi to achieve his goal is to fight the three vampire hunters – Dramaturgy, Episode and Guillotinecutter.",0,64,
